Matchday,Date,Team 1,FT,HT,Team 2,Comments
33,Sun Apr 21 2019,Stade de Reims,0-2,0-1,AS Saint-Étienne,
33,Sun Apr 21 2019,Paris Saint-Germain FC,3-1,2-0,AS Monaco FC,
34,Fri Apr 26 2019,FC Girondins de Bordeaux,2-3,2-1,Olympique Lyonnais,
34,Sun Apr 28 2019,Lille OSC,5-0,0-0,Nîmes Olympique,
34,Sun Apr 28 2019,OGC Nice,3-0,1-0,En Avant Guingamp,
34,Sun Apr 28 2019,Angers SCO,1-1,0-0,Stade de Reims,
34,Sun Apr 28 2019,SM Caen,1-0,0-0,Dijon Football Côte d'Or,
34,Sun Apr 28 2019,Amiens SC,0-0,0-0,RC Strasbourg Alsace,
34,Sun Apr 28 2019,AS Saint-Étienne,2-0,2-0,Toulouse FC,
34,Sun Apr 28 2019,Olympique de Marseille,1-2,1-1,FC Nantes,
34,Tue Apr 30 2019,Montpellier HSC,3-2,1-1,Paris Saint-Germain FC,
34,Wed May 1 2019,Stade Rennais FC 1901,2-2,2-0,AS Monaco FC,
35,Fri May 3 2019,RC Strasbourg Alsace,1-1,0-0,Olympique de Marseille,
35,Sat May 4 2019,Paris Saint-Germain FC,1-1,0-0,OGC Nice,
35,Sat May 4 2019,FC Girondins de Bordeaux,0-1,0-1,Angers SCO,
35,Sat May 4 2019,Stade de Reims,0-3,0-2,Nîmes Olympique,
35,Sat May 4 2019,En Avant Guingamp,0-0,0-0,SM Caen,
35,Sun May 5 2019,Montpellier HSC,1-1,0-0,Amiens SC,
35,Sun May 5 2019,Toulouse FC,2-2,1-1,Stade Rennais FC 1901,
35,Sun May 5 2019,FC Nantes,3-0,0-0,Dijon Football Côte d'Or,
35,Sun May 5 2019,AS Monaco FC,2-3,1-0,AS Saint-Étienne,
35,Sun May 5 2019,Olympique Lyonnais,2-2,1-0,Lille OSC,
36,Fri May 10 2019,AS Saint-Étienne,0-1,0-0,Montpellier HSC,
36,Sat May 11 2019,Angers SCO,1-2,0-1,Paris Saint-Germain FC,
36,Sat May 11 2019,OGC Nice,1-1,0-1,FC Nantes,
36,Sat May 11 2019,SM Caen,3-2,3-1,Stade de Reims,
36,Sat May 11 2019,Dijon Football Côte d'Or,2-1,1-0,RC Strasbourg Alsace,
36,Sat May 11 2019,Nîmes Olympique,1-0,1-0,AS Monaco FC,
36,Sat May 11 2019,Amiens SC,0-0,0-0,Toulouse FC,
36,Sun May 12 2019,Stade Rennais FC 1901,1-1,1-0,En Avant Guingamp,
36,Sun May 12 2019,Lille OSC,1-0,1-0,FC Girondins de Bordeaux,
36,Sun May 12 2019,Olympique de Marseille,0-3,0-1,Olympique Lyonnais,
37,Sat May 18 2019,Montpellier HSC,1-1,0-1,FC Nantes,
37,Sat May 18 2019,Paris Saint-Germain FC,4-0,3-0,Dijon Football Côte d'Or,
37,Sat May 18 2019,Lille OSC,5-0,2-0,Angers SCO,
37,Sat May 18 2019,Olympique Lyonnais,4-0,0-0,SM Caen,
37,Sat May 18 2019,FC Girondins de Bordeaux,0-1,0-1,Stade de Reims,
37,Sat May 18 2019,AS Saint-Étienne,3-0,1-0,OGC Nice,
37,Sat May 18 2019,Toulouse FC,2-5,1-1,Olympique de Marseille,
37,Sat May 18 2019,AS Monaco FC,2-0,1-0,Amiens SC,
37,Sat May 18 2019,En Avant Guingamp,2-2,2-0,Nîmes Olympique,
37,Sat May 18 2019,RC Strasbourg Alsace,0-2,0-1,Stade Rennais FC 1901,
38,Fri May 24 2019,Stade Rennais FC 1901,3-1,1-1,Lille OSC,
38,Fri May 24 2019,Olympique de Marseille,1-0,0-0,Montpellier HSC,
38,Fri May 24 2019,OGC Nice,2-0,1-0,AS Monaco FC,
38,Fri May 24 2019,Stade de Reims,3-1,1-0,Paris Saint-Germain FC,
38,Fri May 24 2019,Angers SCO,1-1,0-0,AS Saint-Étienne,
38,Fri May 24 2019,FC Nantes,0-1,0-0,RC Strasbourg Alsace,
38,Fri May 24 2019,SM Caen,0-1,0-1,FC Girondins de Bordeaux,
38,Fri May 24 2019,Dijon Football Côte d'Or,2-1,0-1,Toulouse FC,
38,Fri May 24 2019,Nîmes Olympique,2-3,2-1,Olympique Lyonnais,
38,Fri May 24 2019,Amiens SC,2-1,1-0,En Avant Guingamp,
