Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
9,Sun Oct 22 2023,20:45,CEST / UTC+0200,Olympique Lyonnais,1-2,0-2,Clermont Foot 63,2023-10-22T18:45:00Z
10,Fri Oct 27 2023,21:00,CEST / UTC+0200,Clermont Foot 63,0-1,0-0,OGC Nice,2023-10-27T19:00:00Z
10,Sat Oct 28 2023,17:00,CEST / UTC+0200,Stade de Reims,1-0,0-0,FC Lorient,2023-10-28T15:00:00Z
10,Sat Oct 28 2023,21:00,CEST / UTC+0200,Racing Club de Lens,4-0,1-0,FC Nantes,2023-10-28T19:00:00Z
10,Sun Oct 29 2023,13:00,CET / UTC+0100,Stade Brestois 29,2-3,1-2,Paris Saint-Germain FC,2023-10-29T12:00:00Z
10,Sun Oct 29 2023,15:00,CET / UTC+0100,FC Metz,0-0,0-0,Le Havre AC,2023-10-29T14:00:00Z
10,Sun Oct 29 2023,15:00,CET / UTC+0100,Montpellier HSC,3-0,1-0,Toulouse FC,2023-10-29T14:00:00Z
10,Sun Oct 29 2023,15:00,CET / UTC+0100,Lille OSC,2-0,2-0,AS Monaco FC,2023-10-29T14:00:00Z
10,Sun Oct 29 2023,17:05,CET / UTC+0100,Stade Rennais FC 1901,1-1,1-0,RC Strasbourg Alsace,2023-10-29T16:05:00Z
11,Fri Nov 3 2023,21:00,CET / UTC+0100,Paris Saint-Germain FC,3-0,1-0,Montpellier HSC,2023-11-03T20:00:00Z
11,Sat Nov 4 2023,17:00,CET / UTC+0100,FC Lorient,0-0,0-0,Racing Club de Lens,2023-11-04T16:00:00Z
11,Sat Nov 4 2023,21:00,CET / UTC+0100,Olympique de Marseille,0-0,0-0,Lille OSC,2023-11-04T20:00:00Z
11,Sun Nov 5 2023,13:00,CET / UTC+0100,Olympique Lyonnais,1-1,0-0,FC Metz,2023-11-05T12:00:00Z
11,Sun Nov 5 2023,15:00,CET / UTC+0100,FC Nantes,0-1,0-0,Stade de Reims,2023-11-05T14:00:00Z
11,Sun Nov 5 2023,15:00,CET / UTC+0100,Toulouse FC,1-2,0-0,Le Havre AC,2023-11-05T14:00:00Z
11,Sun Nov 5 2023,15:00,CET / UTC+0100,RC Strasbourg Alsace,0-0,0-0,Clermont Foot 63,2023-11-05T14:00:00Z
11,Sun Nov 5 2023,17:05,CET / UTC+0100,AS Monaco FC,2-0,1-0,Stade Brestois 29,2023-11-05T16:05:00Z
11,Sun Nov 5 2023,20:45,CET / UTC+0100,OGC Nice,2-0,1-0,Stade Rennais FC 1901,2023-11-05T19:45:00Z
12,Fri Nov 10 2023,21:00,CET / UTC+0100,Montpellier HSC,0-0,0-0,OGC Nice,2023-11-10T20:00:00Z
