Matchday,Date,Team 1,FT,HT,Team 2,Comments
26,Mon Mar 8 2021,AS Roma,,,Genoa CFC,
26,Mon Mar 8 2021,Udinese Calcio,,,US Sassuolo Calcio,
26,Mon Mar 8 2021,UC Sampdoria,,,Cagliari Calcio,
26,Mon Mar 8 2021,Spezia Calcio,,,Benevento Calcio,
26,Mon Mar 8 2021,Hellas Verona FC,,,AC Milan,
26,Mon Mar 8 2021,FC Crotone,,,Torino FC,
27,Mon Mar 15 2021,SS Lazio,,,FC Crotone,
27,Mon Mar 15 2021,Parma Calcio 1913,,,AS Roma,
27,Mon Mar 15 2021,Atalanta BC,,,Spezia Calcio,
27,Mon Mar 15 2021,Cagliari Calcio,,,Juventus FC,
27,Mon Mar 15 2021,Torino FC,,,FC Internazionale Milano,
27,Mon Mar 15 2021,Bologna FC 1909,,,UC Sampdoria,
27,Mon Mar 15 2021,Genoa CFC,,,Udinese Calcio,
27,Mon Mar 15 2021,US Sassuolo Calcio,,,Hellas Verona FC,
27,Mon Mar 15 2021,Benevento Calcio,,,ACF Fiorentina,
27,Sun Mar 14 2021,AC Milan,,,SSC Napoli,
28,Mon Mar 22 2021,Juventus FC,,,Benevento Calcio,
28,Mon Mar 22 2021,FC Internazionale Milano,,,US Sassuolo Calcio,
28,Mon Mar 22 2021,ACF Fiorentina,,,AC Milan,
28,Mon Mar 22 2021,AS Roma,,,SSC Napoli,
28,Mon Mar 22 2021,Parma Calcio 1913,,,Genoa CFC,
28,Mon Mar 22 2021,Udinese Calcio,,,SS Lazio,
28,Mon Mar 22 2021,UC Sampdoria,,,Torino FC,
28,Mon Mar 22 2021,Spezia Calcio,,,Cagliari Calcio,
28,Mon Mar 22 2021,Hellas Verona FC,,,Atalanta BC,
28,Mon Mar 22 2021,FC Crotone,,,Bologna FC 1909,
29,Sun Apr 4 2021,SSC Napoli,,,FC Crotone,
29,Sun Apr 4 2021,SS Lazio,,,Spezia Calcio,
29,Sun Apr 4 2021,AC Milan,,,UC Sampdoria,
29,Sun Apr 4 2021,Atalanta BC,,,Udinese Calcio,
29,Sun Apr 4 2021,Cagliari Calcio,,,Hellas Verona FC,
29,Sun Apr 4 2021,Torino FC,,,Juventus FC,
29,Sun Apr 4 2021,Bologna FC 1909,,,FC Internazionale Milano,
29,Sun Apr 4 2021,Genoa CFC,,,ACF Fiorentina,
29,Sun Apr 4 2021,US Sassuolo Calcio,,,AS Roma,
29,Sun Apr 4 2021,Benevento Calcio,,,Parma Calcio 1913,
30,Mon Apr 12 2021,Juventus FC,,,Genoa CFC,
30,Mon Apr 12 2021,FC Internazionale Milano,,,Cagliari Calcio,
30,Mon Apr 12 2021,ACF Fiorentina,,,Atalanta BC,
30,Mon Apr 12 2021,AS Roma,,,Bologna FC 1909,
30,Mon Apr 12 2021,Parma Calcio 1913,,,AC Milan,
30,Mon Apr 12 2021,Udinese Calcio,,,Torino FC,
30,Mon Apr 12 2021,UC Sampdoria,,,SSC Napoli,
30,Mon Apr 12 2021,Spezia Calcio,,,FC Crotone,
30,Mon Apr 12 2021,Hellas Verona FC,,,SS Lazio,
30,Mon Apr 12 2021,Benevento Calcio,,,US Sassuolo Calcio,
31,Mon Apr 19 2021,SS Lazio,,,Benevento Calcio,
31,Mon Apr 19 2021,AC Milan,,,Genoa CFC,
31,Mon Apr 19 2021,Atalanta BC,,,Juventus FC,
31,Mon Apr 19 2021,UC Sampdoria,,,Hellas Verona FC,
31,Mon Apr 19 2021,Cagliari Calcio,,,Parma Calcio 1913,
31,Mon Apr 19 2021,Torino FC,,,AS Roma,
31,Mon Apr 19 2021,Bologna FC 1909,,,Spezia Calcio,
31,Mon Apr 19 2021,US Sassuolo Calcio,,,ACF Fiorentina,
31,Mon Apr 19 2021,FC Crotone,,,Udinese Calcio,
31,Sun Apr 18 2021,SSC Napoli,,,FC Internazionale Milano,
32,Thu Apr 22 2021,Juventus FC,,,Parma Calcio 1913,
32,Thu Apr 22 2021,SSC Napoli,,,SS Lazio,
32,Thu Apr 22 2021,AS Roma,,,Atalanta BC,
32,Thu Apr 22 2021,AC Milan,,,US Sassuolo Calcio,
32,Thu Apr 22 2021,Udinese Calcio,,,Cagliari Calcio,
32,Thu Apr 22 2021,Bologna FC 1909,,,Torino FC,
32,Thu Apr 22 2021,Genoa CFC,,,Benevento Calcio,
32,Thu Apr 22 2021,Spezia Calcio,,,FC Internazionale Milano,
32,Thu Apr 22 2021,Hellas Verona FC,,,ACF Fiorentina,
32,Thu Apr 22 2021,FC Crotone,,,UC Sampdoria,
33,Mon Apr 26 2021,FC Internazionale Milano,,,Hellas Verona FC,
33,Mon Apr 26 2021,ACF Fiorentina,,,Juventus FC,
33,Mon Apr 26 2021,SS Lazio,,,AC Milan,
33,Mon Apr 26 2021,Parma Calcio 1913,,,FC Crotone,
33,Mon Apr 26 2021,Atalanta BC,,,Bologna FC 1909,
33,Mon Apr 26 2021,Cagliari Calcio,,,AS Roma,
33,Mon Apr 26 2021,Torino FC,,,SSC Napoli,
33,Mon Apr 26 2021,Genoa CFC,,,Spezia Calcio,
33,Mon Apr 26 2021,US Sassuolo Calcio,,,UC Sampdoria,
33,Mon Apr 26 2021,Benevento Calcio,,,Udinese Calcio,
34,Mon May 3 2021,SSC Napoli,,,Cagliari Calcio,
34,Mon May 3 2021,SS Lazio,,,Genoa CFC,
34,Mon May 3 2021,AC Milan,,,Benevento Calcio,
34,Mon May 3 2021,Udinese Calcio,,,Juventus FC,
34,Mon May 3 2021,UC Sampdoria,,,AS Roma,
34,Mon May 3 2021,Torino FC,,,Parma Calcio 1913,
34,Mon May 3 2021,Bologna FC 1909,,,ACF Fiorentina,
34,Mon May 3 2021,Hellas Verona FC,,,Spezia Calcio,
34,Mon May 3 2021,US Sassuolo Calcio,,,Atalanta BC,
34,Mon May 3 2021,FC Crotone,,,FC Internazionale Milano,
35,Mon May 10 2021,FC Internazionale Milano,,,UC Sampdoria,
35,Mon May 10 2021,ACF Fiorentina,,,SS Lazio,
35,Mon May 10 2021,AS Roma,,,FC Crotone,
35,Mon May 10 2021,Parma Calcio 1913,,,Atalanta BC,
35,Mon May 10 2021,Udinese Calcio,,,Bologna FC 1909,
35,Mon May 10 2021,Genoa CFC,,,US Sassuolo Calcio,
35,Mon May 10 2021,Spezia Calcio,,,SSC Napoli,
35,Mon May 10 2021,Hellas Verona FC,,,Torino FC,
35,Mon May 10 2021,Benevento Calcio,,,Cagliari Calcio,
35,Sun May 9 2021,Juventus FC,,,AC Milan,
36,Thu May 13 2021,SSC Napoli,,,Udinese Calcio,
36,Thu May 13 2021,SS Lazio,,,Parma Calcio 1913,
36,Thu May 13 2021,Atalanta BC,,,Benevento Calcio,
36,Thu May 13 2021,UC Sampdoria,,,Spezia Calcio,
36,Thu May 13 2021,Cagliari Calcio,,,ACF Fiorentina,
36,Thu May 13 2021,Torino FC,,,AC Milan,
36,Thu May 13 2021,Bologna FC 1909,,,Genoa CFC,
36,Thu May 13 2021,US Sassuolo Calcio,,,Juventus FC,
36,Thu May 13 2021,FC Crotone,,,Hellas Verona FC,
36,Wed May 12 2021,FC Internazionale Milano,,,AS Roma,
37,Mon May 17 2021,ACF Fiorentina,,,SSC Napoli,
